date,shibuya,shinjyuku,marunouchi,shinagawa,shimokitazawa,hachiouji,osaka,sapporo,sendai,fukuoka
2020/4/16,0,0,0,0,0,1,2,1,1,1
2020/4/17,0,0,0,0,0,0,1,0,1,1
2020/4/18,1,1,1,1,1,1,1,-1,1,1
2020/4/19,1,1,1,1,1,1,1,0,0,0
2020/4/20,-2,-2,-2,-2,-2,-2,-2,-1,0,0
2020/4/21,0,0,0,0,0,0,-1,2,1,-2
2020/4/22,1,1,1,1,1,1,1,0,-2,1
2020/4/23,1,1,1,1,1,1,-1,0,0,-1
2020/4/24,1,1,1,1,1,0,1,0,0,0
2020/4/25,0,0,0,0,0,0,0,0,0,1
2020/4/26,1,1,1,1,1,0,-2,0,-1,1
2020/4/27,-1,-1,-1,-1,-1,-1,-2,1,-2,-2
2020/4/28,-1,-1,-1,-1,-1,-1,-1,0,0,0
2020/4/29,-1,-1,-1,-1,-1,-1,-1,1,0,0
2020/4/30,0,0,0,0,0,0,-2,1,1,0
2020/5/1,0,0,0,0,0,0,0,-2,-1,0
2020/5/2,1,1,1,1,1,1,-2,1,1,-2
2020/5/3,1,1,1,1,1,1,1,1,1,0
2020/5/4,0,0,0,0,0,0,0,1,1,1
2020/5/5,0,0,0,0,0,0,-1,1,1,-2
2020/5/6,1,1,1,1,1,1,1,1,1,0
2020/5/7,0,0,0,0,0,1,1,0,1,1
2020/5/8,1,1,1,1,1,1,2,-1,0,2
2020/5/9,0,0,0,0,0,1,1,0,1,1
2020/5/10,0,0,0,0,0,-1,0,0,1,1
2020/5/11,1,1,1,1,1,1,1,1,1,0
2020/5/12,0,0,0,0,0,1,-2,0,0,0
2020/5/13,1,1,1,1,1,1,1,0,1,-1
2020/5/14,1,1,1,1,1,1,1,0,1,1
2020/5/15,0,0,0,0,0,1,0,0,-1,-1
2020/5/16,-1,-1,-1,-1,-1,-1,-1,1,-1,0
2020/5/17,2,2,2,2,2,2,1,-1,0,-2
2020/5/18,-1,-1,-1,-1,-1,-2,-2,-2,-2,0
2020/5/19,0,0,0,0,0,0,-2,1,0,-2
2020/5/20,1,1,1,1,1,1,1,1,1,-2
2020/5/21,1,1,1,1,1,1,1,2,1,1
2020/5/22,0,0,0,0,0,0,1,0,1,2
2020/5/23,1,1,1,1,1,1,1,0,1,0
2020/5/24,1,1,1,1,1,1,1,1,1,1
2020/5/25,1,1,1,1,1,1,1,1,1,1
2020/5/26,2,2,2,2,2,2,1,1,2,1
2020/5/27,2,2,2,2,2,2,2,1,2,1
2020/5/28,2,2,2,2,2,2,2,0,2,2
2020/5/29,1,1,1,1,1,1,0,-2,0,2
2020/5/30,-1,-1,-1,-1,-1,-2,-2,-2,-2,0
2020/5/31,1,1,1,1,1,0,-1,0,1,0
2020/6/1,1,1,1,1,1,1,1,1,1,1
2020/6/2,-1,-1,-1,-1,-1,0,0,1,1,1
2020/6/3,-1,-1,-1,-1,-1,-1,0,-1,1,0
2020/6/4,1,1,1,1,1,1,1,1,1,0
2020/6/5,2,2,2,2,2,2,1,1,2,1
2020/6/6,1,1,1,1,1,1,1,1,1,1
2020/6/7,-1,-1,-1,-1,-1,0,1,0,0,1
2020/6/8,0,0,0,0,0,0,1,0,0,1
2020/6/9,1,1,1,1,1,1,1,0,1,1
2020/6/10,0,0,0,0,0,1,0,1,1,1
2020/6/11,0,0,0,0,0,0,1,2,0,1
2020/6/12,-2,-2,-2,-2,-2,-1,-2,0,0,-1
2020/6/13,2,2,2,2,2,2,1,0,1,0
2020/6/14,1,1,1,1,1,1,1,1,1,1
2020/6/15,1,1,1,1,1,1,1,2,1,1
2020/6/16,1,1,1,1,1,1,1,2,2,1
2020/6/17,0,0,0,0,0,0,1,1,0,1
2020/6/18,1,1,1,1,1,1,1,0,1,1
2020/6/19,-1,-1,-1,-1,-1,-2,-1,-1,-2,-1
2020/6/20,1,1,1,1,1,1,1,1,1,-1
2020/6/21,2,2,2,2,2,1,1,1,1,1
2020/6/22,1,1,1,1,1,1,0,0,1,1
2020/6/23,1,1,1,1,1,1,1,1,1,1
2020/6/24,1,1,1,1,1,1,2,1,0,1
2020/6/25,1,1,1,1,1,0,0,0,1,1
2020/6/26,-1,-1,-1,-1,-1,-2,-2,-1,-1,0
2020/6/27,-1,-1,-1,-1,-1,0,-1,0,-1,-1
2020/6/28,1,1,1,1,1,1,1,0,1,0
2020/6/29,1,1,1,1,1,1,1,-1,1,1
2020/6/30,1,1,1,1,1,1,1,0,2,1
2020/7/1,1,1,1,1,1,1,1,1,0,-1
2020/7/2,2,2,2,2,2,1,1,2,1,1
2020/7/3,1,1,1,1,1,2,2,1,1,1
2020/7/4,-2,-2,-2,-2,-2,-2,1,1,-2,1
2020/7/5,-1,-1,-1,-1,-1,-2,-2,1,1,0
2020/7/6,1,1,1,1,1,1,1,1,1,0
2020/7/7,2,2,2,2,2,2,1,0,0,2
2020/7/8,1,1,1,1,1,1,1,0,1,1
2020/7/9,0,0,0,0,0,0,0,0,1,1
2020/7/10,0,0,0,0,0,0,-1,0,1,0
2020/7/11,1,1,1,1,1,1,1,0,1,1
2020/7/12,0,0,0,0,0,0,0,0,0,1
2020/7/13,1,1,1,1,1,1,1,1,1,0
2020/7/14,1,1,1,1,1,1,1,0,2,1
2020/7/15,0,0,0,0,0,-1,-2,-2,0,0
2020/7/16,0,0,0,0,0,0,1,-1,1,-1
2020/7/17,1,1,1,1,1,1,1,1,2,1
2020/7/18,1,1,1,1,1,1,1,0,1,1
2020/7/19,1,1,1,1,1,1,0,0,0,-2
2020/7/20,1,1,1,1,1,1,1,0,1,-2
2020/7/21,1,1,1,1,1,1,1,-1,1,1
2020/7/22,1,1,1,1,1,1,1,0,1,1
2020/7/23,2,2,2,2,2,2,1,0,1,1
2020/7/24,2,2,2,2,2,2,2,1,1,2
2020/7/25,2,2,2,2,2,2,2,0,0,2
2020/7/26,2,2,2,2,2,2,1,0,1,2
2020/7/27,1,1,1,1,1,1,0,0,2,0
2020/7/28,1,1,1,1,1,2,1,0,0,0
2020/7/29,2,2,2,2,2,2,0,-1,0,0
2020/7/30,-2,-2,-2,-2,-2,-2,-2,-1,-2,0
2020/7/31,1,1,1,1,1,0,0,0,1,-2
2020/8/1,1,1,1,1,1,1,1,1,1,0
2020/8/2,1,1,1,1,1,1,1,1,1,1
2020/8/3,1,1,1,1,1,1,1,0,1,1
2020/8/4,1,1,1,1,1,1,1,0,0,1
2020/8/5,2,2,2,2,2,2,1,0,0,2
2020/8/6,1,1,1,1,1,1,0,0,0,2
2020/8/7,2,2,2,2,2,2,2,-1,0,1
2020/8/8,1,1,1,1,1,2,2,0,1,1
2020/8/9,1,1,1,1,1,1,1,1,1,0
2020/8/10,2,2,2,2,2,2,0,0,0,1
2020/8/11,1,1,1,1,1,2,1,0,0,0
2020/8/12,0,0,0,0,0,0,1,0,0,1
2020/8/13,0,0,0,0,0,0,-2,0,1,-2
2020/8/14,1,1,1,1,1,1,1,0,2,1
2020/8/15,2,2,2,2,2,2,1,-1,1,1
2020/8/16,2,2,2,2,2,2,1,-1,0,1
2020/8/17,0,0,0,0,0,0,0,1,0,0
2020/8/18,0,0,0,0,0,0,1,0,1,1
2020/8/19,-1,-1,-1,-1,-1,0,-1,0,-1,-1
2020/8/20,1,1,1,1,1,1,1,2,2,1
2020/8/21,-1,-1,-1,-1,-1,-1,-1,2,1,1
2020/8/22,-2,-2,-2,-2,-2,-2,-2,0,0,-1
